crop,model,n_folds,bal_acc_mean,bal_acc_std,acc_mean,f1w_mean
potato,densenet121,5,0.9817,0.0028,0.98,0.9801
potato,densenet201,5,0.9822,0.0044,0.9788,0.9788
potato,densexnet,5,0.984,0.0042,0.9818,0.9819
potato,convnext_tiny,5,0.9873,0.005,0.9833,0.9834
potato,vit_small,5,0.9855,0.0042,0.9818,0.9819
potato,swin_tiny,5,0.985,0.0024,0.9824,0.9825
cowpea,densenet121,5,0.9912,0.0034,0.9913,0.9913
cowpea,densenet201,5,0.9924,0.0017,0.992,0.992
cowpea,densexnet,5,0.99,0.004,0.9899,0.9899
cowpea,convnext_tiny,5,0.9875,0.0042,0.987,0.987
cowpea,vit_small,5,0.9933,0.0,0.9928,0.9928
cowpea,swin_tiny,5,0.9896,0.0036,0.9891,0.9891
cluster_bean,densenet121,5,0.9889,0.0037,0.991,0.991
cluster_bean,densenet201,5,0.9907,0.0047,0.9935,0.9935
cluster_bean,densexnet,5,0.9878,0.0052,0.9903,0.9903
cluster_bean,convnext_tiny,5,0.9945,0.0038,0.9948,0.9948
cluster_bean,vit_small,5,0.9914,0.0059,0.9929,0.9929
cluster_bean,swin_tiny,5,0.9955,0.005,0.9961,0.9961
